state,visited
Alabama,4.65
Alaska,8.1
Arizona,7.4
Arkansas,4.44
California,8.78
Colorado,6.66
Connecticut,7.63
Delaware,8.12
Florida,7.44
Georgia,7.51
Hawaii,5.73
Idaho,5.68
Illinois,7.88
Indiana,5.52
Iowa,5.33
Kansas,4.91
Kentucky,4.64
Louisiana,5.9
Maine,6.5
Maryland,8.81
Massachusetts,7.61
Michigan,6.65
Minnesota,6.48
Mississippi,4.58
Missouri,5.91
Montana,6.3
Nebraska,5.62
Nevada,7.5
New Hampshire,6.96
New Jersey,8.86
New Mexico,5.82
New York,9.8
North Carolina,6.98
North Dakota,5.46
Ohio,6.25
Oklahoma,3.38
Oregon,6.27
Pennsylvania,7.64
Rhode Island,6.75
South Carolina,7.09
South Dakota,6.29
Tennessee,4.82
Texas,6.66
Utah,5.31
Vermont,7.7
Virginia,8.26
Washington,6.56
West Virginia,4.45
Wisconsin,6.16
Wyoming,5.96
