time,AUS,AUT,BEL,CAN,DNK,FIN,FRA,DEU,GRC,ISL,IRL,ITA,JPN,LUX,NLD,NOR,PRT,ESP,SWE,CHE,GBR,USA
1960,70.9,68.7,69.8,71.2,72.4,69,70.3,69.1,71.7,73.4,70,69.7,67.8,69.4,73.5,73.8,63.9,69.8,73.1,71.4,70.8,69.9
1961,71.2,69.7,70.6,71.3,72.46,69,71,69.7,72,73.6,70.15,69.8,68.4,69.4,73.8,73.8,62.7,70,73.5,71.8,70.7,70.4
1962,71,69.4,70.3,71.4,72.47,69,70.5,69.9,71.7,73.8,70.3,70,68.7,69.43,73.4,73.7,64.1,70.2,73.4,71.3,70.9,70.2
1963,71.1,69.6,70.1,71.5,72.5,69,70.5,70,72,73.2,70.45,70.2,69.8,69.46,73.4,73.4,64.7,70.5,73.6,71.3,71.1,70
1964,70.7,70,70.9,71.6,72.53,69.2,71.4,70.6,71.9,73.6,70.5,70.4,70.3,69.49,73.8,73.9,64.9,70.8,73.8,72.2,71.3,70.3
1965,71,69.8,70.7,71.7,72.56,69.4,71.3,70.5,72.4,73.9,70.6,70.7,70.3,69.52,73.6,74,65.8,71,73.9,72.3,71.5,70.3
1966,70.8,70.2,70.8,72,72.59,69.6,71.5,70.6,72.6,73.4,70.6,71,71,69.55,73.6,74.3,65.2,71.2,74.2,72.5,71.7,70.3
1967,71.2,70,71.1,72.2,72.6,69.7,71.5,70.9,72.3,73.9,70.75,71.2,71.5,69,73.9,74.3,66,71.5,74.2,72.8,71.8,70.7
1968,70.9,70.2,70.8,72.4,73,69.8,71.5,70.5,72.4,74.1,70.9,71.4,71.7,69.2,73.7,74.2,66.4,71.7,74.1,72.7,71.85,70.4
1969,71.1,69.9,70.9,72.6,73.2,69.9,71.3,70.3,73,73.8,71.25,71.6,71.9,69.4,73.6,74,65.9,71.9,74.2,72.7,71.9,70.6
1970,70.8,70,71.1,72.7,73.3,70.8,72.2,70.6,73.8,74,71.2,71.8,72,69.6,73.7,74.4,66.7,72,74.8,73.1,71.9,70.9
1971,71.6,70.2,71.2,72.9,73.3,70.1,72.1,70.8,74.2,73.7,71.25,72,72.9,69.7,73.9,74.4,66.4,72.4,74.8,73.3,71.9,71.2
1972,72,70.6,71.5,73.1,73.4,70.7,72.4,71,73.8,74.5,71.3,72.2,73.2,70.9,73.8,74.6,68.4,72.6,74.8,73.8,72,71.3
1973,72.1,71.1,71.7,73.3,73.6,71.2,72.5,71.3,74.1,74.6,71.35,72.4,73.4,70.8,74.2,74.7,67.5,72.9,75,74.1,72.2,71.5
1974,71.9,71.1,72.1,73.5,74,71.2,72.8,71.5,74.6,74.6,71.35,72.6,73.7,70.8,74.6,75.1,68.1,73.1,75.1,74.4,72.4,72.1
1975,72.7,71.2,72.1,72.9,74.2,71.7,73,71.4,74.5,75.7,71.4,72.7,74.3,70.8,74.6,75.1,68.4,73.3,75.2,74.8,72.6,72.7
1976,72.8,71.7,72.2,73.9,73.9,72,73.2,71.8,74.5,77.1,71.45,72.8,74.8,70.8,74.7,75.3,69,73.7,75.1,74.9,72.8,73
1977,73.4,72,72.9,73.9,74.9,72.4,73.8,72.5,74.7,76.5,71.5,73.4,75.3,72.2,75.3,75.7,70.1,74.2,75.6,75.4,72.9,73.4
1978,73.7,72.1,72.8,73.9,74.6,73,73.9,72.4,75.2,76.7,71.5,73.8,75.7,72.1,75.3,75.8,70.5,74.5,75.7,75.4,73,73.5
1979,74.3,72.4,73.3,75.1,74.4,73.2,74.2,72.8,75.5,76.85,72.3,74.1,76.2,72.8,75.7,75.8,71.3,75,75.7,75.7,73.1,73.9
1980,74.6,72.6,73.3,75.3,74.3,73.6,74.3,72.9,75.3,77,72.9,74,76.1,72.8,75.9,75.9,71.4,75.4,75.9,75.7,73.2,73.7
1981,74.9,72.9,73.7,75.5,74.4,73.9,74.5,73.2,75.7,76.6,72.9,74.3,76.5,72.6,76,76.1,71.7,75.7,76.2,75.9,73.8,74.1
1982,74.7,73.1,74,75.9,74.7,74.6,74.8,73.5,75.9,77.1,72.9,74.7,76.9,72.7,76.1,76.2,72.5,76.3,76.5,76.2,74.1,74.5
1983,75.5,73.1,74,76.2,74.6,74.4,74.8,73.8,75.7,77,73.1,74.8,77,73.5,76.3,76.3,72.4,76.1,76.7,76.2,74.3,74.6
1984,75.8,73.7,74.5,76.5,74.8,74.8,75.3,74.3,76.2,77.7,73.25,75,77.4,73.3,76.4,76.4,72.7,76.5,77,76.9,74.5,74.7
1985,75.6,73.9,74.6,76.5,74.6,74.5,75.4,74.4,76,77.7,73.4,75.6,77.6,73.8,76.5,76.1,73,76.4,76.8,77,74.7,74.7
1986,76.1,74.4,74.8,76.6,74.8,74.8,75.6,74.6,76.5,78.1,73.6,75.9,78.1,74.7,76.4,76.5,73.4,76.7,77.1,77.1,74.8,74.7
1987,76.3,74.9,75.5,77,74.9,74.8,76.2,75,76.3,77.4,74.5,76.3,78.5,74.3,76.9,76.3,73.8,76.9,77.3,77.5,75.2,74.9
1988,76.3,75.3,75.7,77,75,74.8,76.4,75.2,76.8,77.2,74.5,76.5,78.4,75,77.1,76.4,73.8,76.9,77.1,77.5,75.3,74.9
1989,76.5,75.4,75.7,77.3,75,75,76.6,75.4,77,78.2,74.5,76.9,78.8,74.8,76.9,76.7,74.4,77,77.8,77.7,75.4,75.1
1990,77,75.7,76.1,77.6,74.9,75,76.9,75.3,77.1,78.1,74.9,77.1,78.9,75.6,77,76.7,74.1,77,77.7,77.5,75.7,75.3
1991,77.4,75.7,76.3,77.8,75.3,75.5,77,75.5,77.3,78.1,75.1,77.1,79.1,75.7,77.2,77.1,74.1,77.2,77.9,77.8,75.9,75.5
1992,77.5,75.9,76.5,78,75.3,75.7,77.3,76,77.2,78.8,75.5,77.5,79.2,75.3,77.4,77.4,74.7,77.6,78.2,78,76.3,75.7
1993,78,76.2,76.5,78,75.2,75.8,77.4,76.1,77.6,79,75.3,77.8,79.4,75.9,77.1,77.3,74.6,77.8,78.2,78.4,76.2,75.5
1994,78,76.5,76.8,78,75.5,76.6,77.7,76.4,77.8,79.3,75.9,78,79.8,76.6,77.5,77.9,75.5,78.1,78.9,78.6,76.8,75.7
1995,77.9,76.8,77,78,75.3,76.6,77.9,76.6,77.8,78.1,75.6,78.3,79.6,76.8,77.6,77.9,75.4,78.1,79,78.7,76.7,75.7
1996,78.2,77,77.3,78.2,75.7,76.9,78.1,76.9,78,78.9,75.9,78.6,80.3,76.8,77.6,78.3,75.3,78.3,79.2,79.1,76.9,76.1
1997,78.5,77.4,77.5,78.3,76.1,77.1,78.4,77.3,78.4,79,76.1,78.9,80.5,77,78,78.3,75.8,78.8,79.4,79.3,77.2,76.5
1998,78.7,77.8,77.6,78.5,76.5,77.3,78.7,77.7,78.4,79.7,76.3,79.1,80.6,77.3,78,78.5,76,78.9,79.5,79.6,77.3,76.7
1999,79,78,77.7,78.8,76.6,77.5,78.9,77.9,78.5,79.4,76.2,79.5,80.5,77.9,77.9,78.4,76.3,78.9,79.6,79.8,77.5,76.7
2000,79.3,78.2,77.8,79,76.9,77.7,79.2,78.2,78.6,79.7,76.6,79.9,81.2,78,78.2,78.8,76.9,79.4,79.7,79.9,77.9,76.7
2001,79.7,78.7,78.1,79.3,77,78.2,79.3,78.5,79.1,80.8,77.2,80.2,81.5,77.9,78.3,78.9,77.2,79.8,79.9,80.4,78.2,76.8
2002,80,78.8,78.2,79.5,77.1,78.3,79.4,78.5,79.2,80.6,77.7,80.3,81.8,78.1,78.4,79,77.4,79.9,79.9,80.6,78.3,76.9
2003,80.3,78.7,78.2,79.7,77.4,78.5,79.2,78.6,79.3,81,78.2,80.1,81.8,77.8,78.7,79.6,77.5,79.7,80.3,80.6,78.4,77.1
2004,80.6,79.3,79,79.9,77.8,79,80.3,79.2,79.4,81.1,78.6,80.9,82.1,79.2,79.2,80.1,78.4,80.4,80.6,81.2,79,77.4
2005,80.9,79.4,79.1,80.1,78.3,79.1,80.3,79.4,79.7,81.6,79,80.9,82,79.5,79.5,80.3,78.2,80.3,80.7,81.4,79.2,77.4
2006,81.1,80,79.5,80.4,78.4,79.5,80.9,79.8,79.9,81.2,79.3,81.4,82.4,79.4,79.9,80.6,79,81.1,81,81.7,79.5,77.7
2007,81.4,80.3,79.9,80.5,78.4,79.6,81.2,80.1,79.7,81.5,79.7,81.5,82.6,79.5,80.3,80.6,79.2,81.2,81.1,82,79.7,77.9
2008,81.5,80.5,79.8,80.7,78.8,79.9,81.3,80.2,80.3,81.7,80.2,81.6,82.7,80.6,80.5,80.8,79.5,81.5,81.3,82.2,79.8,78.1
2009,81.6,80.4,80.1,80.9,79,80.1,81.5,80.3,80.4,81.8,80.3,81.7,83,80.7,80.8,81,79.7,81.9,81.5,82.3,80.4,78.5
2010,81.8,80.7,80.3,81.2,79.3,80.2,81.8,80.5,80.7,82,80.8,82.1,82.9,80.7,81,81.2,80,82.4,81.6,82.6,80.6,78.6
